Volume,Ulcer,ATR,BBhPrice,BBlPrice,BBWidth,EMA5Price,EMA10Price,EMA20Price,MACDHist,DIplus,DIminus,VI,TRIX,CCI,DPO,STC,PSARUp,PSARDown,RSI,SRSI,TSI,UO,SO,WR,AO,ROC,PPOHist,CandleBodyWidth,CandleTopWick,CandleBottomWick,Prev Day,Week Open,Month Open,Year Open:,Label
61715343,3.480591438,0.990474032,-3.199862345,2.375074945,5.598023185,0.336911629,0.236789918,-0.343721126,0.138293353,12.17823634,24.91069299,-0.301770425,-0.040836547,-38.50464982,-0.2027,100,0,0,43.80029425,1,-17.60587557,,53.40793489,-46.59206511,-0.607009804,-0.985857335,,0.373595094,0.1532607,0.07016368,0.373595094,0.895186401,-3.651431441,,-1
65696434,3.392001031,0.963797315,-2.392622818,2.506754897,4.896583429,0.446081695,0.466014386,-0.011108933,0.161697905,15.04839569,23.7644574,-0.100961897,0.00737639,-8.057826757,-0.3968,100,0,0,46.9635925,1,-9.310590564,,67.1393123,-32.8606877,-0.328382353,0.050943494,,0.11026964,0.299270528,0.232521766,0.11026964,1.436687713,-3.340699076,,-1
58196488,3.309041832,0.950597507,-1.633458627,2.978176238,4.580835216,0.663283345,0.831596788,0.486993257,0.193865102,16.12753757,22.3651993,-0.06826215,0.06504403,20.97501347,-1.2962,100,0,0,51.80789918,1,1.370856505,53.78413645,90.85114361,-9.148856393,0.168147059,0.963063439,,0.699337087,0.019635605,0.091663802,0.699337087,0.884116145,-2.235895571,,-1
79232353,3.188144435,0.9549834,-2.289119654,1.779290262,4.078807395,-0.260009544,-0.182491546,-0.510518554,0.088223404,14.90013281,22.55820346,-0.028675433,0.068895992,-4.477777875,-1.08765,50,0,0,43.60283818,0.706987545,-1.605221695,42.49158006,57.78050778,-42.21949222,0.428980392,0.927575339,,-0.988553052,0.040328001,0,-0.988553052,-0.519475122,-2.459124943,,-1
56511181,3.030692305,0.922198871,-1.951987867,1.808232417,3.762924989,-0.111596768,-0.073412497,-0.378380623,0.043861463,14.32470445,22.8315833,-0.017761854,0.056713909,-18.20514387,-0.8789,25,0,0,44.43627251,0.736750473,-2.52469168,43.94538981,61.42506143,-38.57493857,0.369568627,0.9394616,,-0.150025004,0.120853476,0.246851596,-0.150025004,0.624704709,-2.831709468,,-1
106681892,2.749056095,0.972184666,-1.012615399,2.051128743,3.047917626,0.258091048,0.34828543,0.108124458,0.062689963,12.60971919,24.58587327,0.018384316,0.059376173,7.040929999,-0.6457,47.47907868,0,1,48.82000982,0.889060243,1.420664923,56.06221852,81.04013104,-18.95986896,0.236107843,1.320163258,,0.696266714,0.310426811,0.691608068,0.696266714,0.796374976,-1.408465121,,-1
81406513,2.481128139,0.999314333,-1.873398683,0.780306553,2.668288663,-0.61396015,-0.679284745,-0.965754612,-0.037587963,11.38606448,22.20004539,0.086568692,0.019855419,-39.27493216,-1.17115,23.73953934,0,0,40.66848654,0.583626168,-6.278135664,47.38560716,34.76658477,-65.23341523,0.105401961,-0.00945398,,-1.055049686,0.211009937,0.140971017,-1.055049686,-0.97682257,-3.391825923,,-1
122791114,2.290224461,1.028149023,-3.151888966,-0.234880202,2.967255816,-1.277044703,-1.615873711,-2.040670661,-0.171996493,10.27208373,27.70580013,-0.099811017,-0.070341325,-185.2399064,0.31155,11.86976967,0,0,33.98887896,0.333952878,-19.49923773,39.19333922,0,-100,-0.216196078,-0.638761395,-0.004560482,-1.413416438,0.058761188,0,-1.413416438,-2.223933563,-3.271836264,,1
165210480,2.314833949,1.076424093,-4.693316255,-1.012290363,3.789122093,-1.796935188,-2.472510959,-3.108260014,-0.299881728,9.106717304,33.65721162,-0.261755894,-0.200988541,-299.9104956,0.3397,5.934884835,0,0,28.5607391,0.131057496,-33.66599895,33.02013422,0.929899857,-99.07010014,-0.87304902,-3.417965695,-0.166083984,-1.384053574,0.388599657,0.042122089,-1.384053574,-4.218929343,-4.341584823,,1
123623538,2.325455317,1.057965229,-4.483031061,-0.258482825,4.327134067,-0.997939655,-1.780152067,-2.54457115,-0.258907478,8.602193615,32.59851918,-0.285925926,-0.29160927,-255.5832652,0.0731,2.967442417,0,0,31.14858732,0.111318897,-38.40406605,31.76637242,10.38720148,-89.61279852,-1.69104902,-2.929346747,-0.234237971,0.333664478,0.398204849,0.150320648,0.333664478,-3.195324221,-3.860400629,,1
